"ID","Age","Sex","Group","Home_Cage","Weight"
"G5_3",21,"Male","KO+MTX","C11181627",NA
"G5_6",21,"Female","WT+Saline","C11181627",NA
"G5_7",21,"Female","WT+MTX","C11181627",NA
"G5_8",21,"Female","WT+Saline","C11181627",NA
"G5_9",21,"Female","WT+MTX","C11181627",NA
"G5_2",22,"Male","KO+Saline","C11181627",11.9
"G5_3",22,"Male","KO+MTX","C11181627",9.4
"G5_6",22,"Female","WT+Saline","C11181627",10.9
"G5_7",22,"Female","WT+MTX","C11181627",10.4
"G5_8",22,"Female","WT+Saline","C11181627",11.8
"G5_9",22,"Female","WT+MTX","C11181627",10.4
"G5_2",23,"Male","KO+Saline","C11181627",12.9
"G5_3",23,"Male","KO+MTX","C11181627",9.7
"G5_6",23,"Female","WT+Saline","C11181627",11.9
"G5_7",23,"Female","WT+MTX","C11181627",10.9
"G5_8",23,"Female","WT+Saline","C11181627",12.5
"G5_9",23,"Female","WT+MTX","C11181627",11.1
"G5_2",24,"Male","KO+Saline","C11181627",13.9
"G5_3",24,"Male","KO+MTX","C11181627",10.2
"G5_6",24,"Female","WT+Saline","C11181627",13
"G5_7",24,"Female","WT+MTX","C11181627",10.8
"G5_8",24,"Female","WT+Saline","C11181627",13.5
"G5_9",24,"Female","WT+MTX","C11181627",11
"G5_2",25,"Male","KO+Saline","C11181627",15.3
"G5_3",25,"Male","KO+MTX","C11181627",11.7
"G5_6",25,"Female","WT+Saline","C11181627",13.3
"G5_7",25,"Female","WT+MTX","C11181627",11.5
"G5_8",25,"Female","WT+Saline","C11181627",14.1
"G5_9",25,"Female","WT+MTX","C11181627",12.2
"G5_2",26,"Male","KO+Saline","C11181627",16.2
"G5_3",26,"Male","KO+MTX","C11181627",12.7
"G5_6",26,"Female","WT+Saline","C11181627",14.2
"G5_7",26,"Female","WT+MTX","C11181627",12.4
"G5_8",26,"Female","WT+Saline","C11181627",14.9
"G5_9",26,"Female","WT+MTX","C11181627",13.6
"G5_2",27,"Male","KO+Saline","C11181627",16.9
"G5_3",27,"Male","KO+MTX","C11181627",13.6
"G5_6",27,"Female","WT+Saline","C11181627",15.1
"G5_7",27,"Female","WT+MTX","C11181627",13
"G5_8",27,"Female","WT+Saline","C11181627",15.3
"G5_9",27,"Female","WT+MTX","C11181627",14.1
"G5_2",35,"Male","KO+Saline","C11181627",22.2
"G5_3",35,"Male","KO+MTX","C11181627",20
"G5_6",35,"Female","WT+Saline","C11181627",17.8
"G5_7",35,"Female","WT+MTX","C11181627",15.8
"G5_8",35,"Female","WT+Saline","C11181627",17.9
"G5_9",35,"Female","WT+MTX","C11181627",17.8
"G5_2",41,"Male","KO+Saline","C11181627",24.7
"G5_3",41,"Male","KO+MTX","C11181627",22.4
"G5_6",41,"Female","WT+Saline","C11181627",18.6
"G5_7",41,"Female","WT+MTX","C11181627",17
"G5_8",41,"Female","WT+Saline","C11181627",19.1
"G5_9",41,"Female","WT+MTX","C11181627",19.2
"G5_2",49,"Male","KO+Saline","C11181627",25.7
"G5_3",49,"Male","KO+MTX","C11181627",24
"G5_6",49,"Female","WT+Saline","C11181627",19
"G5_7",49,"Female","WT+MTX","C11181627",17.6
"G5_8",49,"Female","WT+Saline","C11181627",19.6
"G5_9",49,"Female","WT+MTX","C11181627",19.2
"G5_2",56,"Male","KO+Saline","C11181627",28.1
"G5_3",56,"Male","KO+MTX","C11181627",26
"G5_6",56,"Female","WT+Saline","C11181627",19.9
"G5_7",56,"Female","WT+MTX","C11181627",18.5
"G5_8",56,"Female","WT+Saline","C11181627",21
"G5_9",56,"Female","WT+MTX","C11181627",20.7
"G5_2",62,"Male","KO+Saline","C11181627",28.9
"G5_3",62,"Male","KO+MTX","C11181627",26.5
"G5_6",62,"Female","WT+Saline","C11181627",20.8
"G5_7",62,"Female","WT+MTX","C11181627",18.6
"G5_8",62,"Female","WT+Saline","C11181627",22
"G5_9",62,"Female","WT+MTX","C11181627",22.2
"G6_1",13,"Male","KO+Saline","C11158672",6.9
"G6_2",13,"Male","KO+MTX","C11158672",7
"G6_3",13,"Male","KO+Saline","C11158672",7
"G6_4",13,"Male","KO+MTX","C11158672",7.2
"G6_5",13,"Male","KO+Saline","C11158672",7.3
"G6_1",17,"Male","KO+Saline","C11158672",7.6
"G6_2",17,"Male","KO+MTX","C11158672",7.3
"G6_3",17,"Male","KO+Saline","C11158672",6.9
"G6_4",17,"Male","KO+MTX","C11158672",6.9
"G6_5",17,"Male","KO+Saline","C11158672",7
"G6_1",18,"Male","KO+Saline","C11158672",8.5
"G6_2",18,"Male","KO+MTX","C11158672",7.7
"G6_3",18,"Male","KO+Saline","C11158672",7.2
"G6_4",18,"Male","KO+MTX","C11158672",7.5
"G6_5",18,"Male","KO+Saline","C11158672",7.8
"G6_1",19,"Male","KO+Saline","C11158672",9.2
"G6_2",19,"Male","KO+MTX","C11158672",8.3
"G6_3",19,"Male","KO+Saline","C11158672",7.3
"G6_4",19,"Male","KO+MTX","C11158672",7.7
"G6_5",19,"Male","KO+Saline","C11158672",8.4
"G6_1",20,"Male","KO+Saline","C11158672",9.6
"G6_2",20,"Male","KO+MTX","C11158672",8.3
"G6_3",20,"Male","KO+Saline","C11158672",8
"G6_4",20,"Male","KO+MTX","C11158672",7.5
"G6_5",20,"Male","KO+Saline","C11158672",9.1
"G6_1",21,"Male","KO+Saline","C11158672",NA
"G6_2",21,"Male","KO+MTX","C11158672",NA
"G6_3",21,"Male","KO+Saline","C11158672",NA
"G6_4",21,"Male","KO+MTX","C11158672",NA
"G6_5",21,"Male","KO+Saline","C11158672",NA
"G6_1",22,"Male","KO+Saline","C11158672",11.9
"G6_2",22,"Male","KO+MTX","C11158672",10
"G6_3",22,"Male","KO+Saline","C11158672",9.9
"G6_4",22,"Male","KO+MTX","C11158672",7.5
"G6_5",22,"Male","KO+Saline","C11158672",11.1
"G6_1",23,"Male","KO+Saline","C11158672",12.7
"G6_2",23,"Male","KO+MTX","C11158672",11
"G6_3",23,"Male","KO+Saline","C11158672",11
"G6_4",23,"Male","KO+MTX","C11158672",7.3
"G6_5",23,"Male","KO+Saline","C11158672",11.6
"G6_1",24,"Male","KO+Saline","C11158672",13.6
"G6_2",24,"Male","KO+MTX","C11158672",10.7
"G6_3",24,"Male","KO+Saline","C11158672",11.9
"G6_4",24,"Male","KO+MTX","C11158672",7.2
"G6_5",24,"Male","KO+Saline","C11158672",12.8
"G6_1",25,"Male","KO+Saline","C11158672",14.7
"G6_2",25,"Male","KO+MTX","C11158672",11.4
"G6_3",25,"Male","KO+Saline","C11158672",13.1
"G6_4",25,"Male","KO+MTX","C11158672",6.9
"G6_5",25,"Male","KO+Saline","C11158672",13.6
"G6_1",26,"Male","KO+Saline","C11158672",15.4
"G6_2",26,"Male","KO+MTX","C11158672",12.7
"G6_3",26,"Male","KO+Saline","C11158672",14
"G6_4",26,"Male","KO+MTX","C11158672",7.2
"G6_5",26,"Male","KO+Saline","C11158672",14.7
"G6_1",27,"Male","KO+Saline","C11158672",16.4
"G6_2",27,"Male","KO+MTX","C11158672",14.2
"G6_3",27,"Male","KO+Saline","C11158672",14.9
"G6_4",27,"Male","KO+MTX","C11158672",8.6
"G6_5",27,"Male","KO+Saline","C11158672",15.5
"G6_1",35,"Male","KO+Saline","C11158672",21.2
"G6_2",35,"Male","KO+MTX","C11158672",20.8
"G6_3",35,"Male","KO+Saline","C11158672",20.4
"G6_4",35,"Male","KO+MTX","C11158672",15.2
"G6_5",35,"Male","KO+Saline","C11158672",20.5
"G6_1",41,"Male","KO+Saline","C11158672",23.7
"G6_2",41,"Male","KO+MTX","C11158672",22.5
"G6_3",41,"Male","KO+Saline","C11158672",22.6
"G6_4",41,"Male","KO+MTX","C11158672",19.2
"G6_5",41,"Male","KO+Saline","C11158672",22.5
"G6_1",49,"Male","KO+Saline","C11158672",25.2
"G6_2",49,"Male","KO+MTX","C11158672",23.3
"G6_3",49,"Male","KO+Saline","C11158672",23
"G6_4",49,"Male","KO+MTX","C11158672",20.3
"G6_5",49,"Male","KO+Saline","C11158672",23.2
"G6_1",56,"Male","KO+Saline","C11158672",26.5
"G6_2",56,"Male","KO+MTX","C11158672",24
"G6_3",56,"Male","KO+Saline","C11158672",23.6
"G6_4",56,"Male","KO+MTX","C11158672",22.7
"G6_5",56,"Male","KO+Saline","C11158672",25.1
"G6_1",62,"Male","KO+Saline","C11158672",26.8
"G6_2",62,"Male","KO+MTX","C11158672",24.1
"G6_3",62,"Male","KO+Saline","C11158672",23.2
"G6_4",62,"Male","KO+MTX","C11158672",23.5
"G6_5",62,"Male","KO+Saline","C11158672",25.5
"G7_2",13,"Male","KO+MTX","C11219462",6.8
"G7_4",13,"Male","WT+Saline","C11219462",6.7
"G7_6",13,"Female","KO+Saline","C11219462",6.4
"G7_2",17,"Male","KO+MTX","C11219462",7.4
"G7_4",17,"Male","WT+Saline","C11219462",7.2
"G7_6",17,"Female","KO+Saline","C11219462",7.1
"G7_2",18,"Male","KO+MTX","C11219462",7.7
"G7_4",18,"Male","WT+Saline","C11219462",7.5
"G7_6",18,"Female","KO+Saline","C11219462",7.7
"G7_2",19,"Male","KO+MTX","C11219462",7.8
"G7_4",19,"Male","WT+Saline","C11219462",7.9
